Ts = 200ms,RAW,/10
76600,1625,162.5
76800,1625,162.5
77000,1750,175
77200,1750,175
77400,1750,175
77600,1825,182.5
77800,1750,175
78000,1700,170
78200,1675,167.5
78400,1775,177.5
78600,1600,160
78800,1725,172.5
79000,1700,170
79200,1800,180
79400,1850,185
79600,1750,175
79800,1800,180
80000,1725,172.5
80200,1675,167.5
80400,1775,177.5
80600,1750,175
80800,1775,177.5
81000,1725,172.5
81200,1875,187.5
81400,1775,177.5
81600,1800,180
81800,1800,180
82000,1825,182.5
82200,1875,187.5
82400,1950,195
82600,1875,187.5
82800,1850,185
83000,1775,177.5
83200,1850,185
83400,1875,187.5
83600,1950,195
83800,1875,187.5
84000,1900,190
84200,2000,200
84400,2050,205
84600,1975,197.5
84800,1900,190
85000,1750,175
85200,1875,187.5
85400,2025,202.5
85600,1900,190
85800,2025,202.5
86000,1825,182.5
86200,2000,200
86400,1875,187.5
86600,1900,190
